filename,dc.creator,dc.title,dc.relation.ispartof,dc.publisher,dc.date.issued,dc.description.tableofcontents,dc.subject,dc.subject.lcsh,dc.subject.nalt,dc.description,dc.language,dc.type,dc.format,dc.coverage.spatial,dc.audience
L634,"Klussmann, Wallace G.|| Ramsey, Charles W.|| Shult, Milo J.|| Nickelson II, Ranzell",Field Dressing Big Game.,Leaflet / Texas Agricultural Extension Service; no. 634.,Texas Agricultural Extension Service,1982,,field dressing|| ,,deer|| venison|| skinning|| game meat|| ,8 pg,,article,,Texas,
L700,"Armstrong, J. M.|| Todorovic, R. A.",Anaplasmosis of Cattle.,Leaflet / Texas Agricultural Extension Service; no. 700.,Texas Agricultural Extension Service,1980,,,,bovine anaplosmosis|| cattle diseases|| signs and symptoms (animals and humans)|| disease diagnosis|| geographical distribution||,5 pg,,article,,Texas,
L704,"Hoelscher, Clifford E.",Managing Insects on Texas Peanuts.,Leaflet / Texas Agricultural Extension Service; no. 704.,Texas Agricultural Extension Service,1977,,,,insect pests|| insect control|| peanuts|| application methods|| application equipment|| insecticides|| application rate|| application timing||,7 pg ,,article,,Texas,
L704,"Hoelscher, Clifford E.|| Moore, David S.",Managing Insects on Texas Peanuts.,Leaflet / Texas Agricultural Extension Service; no. 704.,Texas Agricultural Extension Service,1979,,,,insect pests|| insect control|| peanuts|| application methods|| application equipment|| insecticides|| application rate|| application timing||,7 pg ,,article,,Texas,
L704,"Cocke, Jesse, Jr.|| Hoelscher, C. E.|| Smith, J. W., Jr.",Managing Insects on Texas Peanuts.,Leaflet / Texas Agricultural Extension Service; no. 704.,Texas Agricultural Extension Service,1982,,,,insect pests|| insect control|| peanuts|| application methods|| application equipment|| insecticides|| application rate|| application timing||,7 pg ,,article,,Texas,
L721,"Welch, Charles D.|| Gray, Carl|| Pennington, H. Dale",Zinc Deficiency and Fertilization.,Leaflet / Texas Agricultural Extension Service; no. 721.,Texas Agricultural Extension Service,1980,,,,zinc|| nutrient deficiencies|| soil analysis|| zinc fertilizers|| fertilizer application||,2 pg,,article,,Texas,
L722,"Chandler, James W.",Selecting and Caring for Christmas Trees.,Leaflet / Texas Agricultural Extension Service; no. 722.,Texas Agricultural Extension Service,1981,,,,fire safety|| home safety|| Christmas trees|| fire hazard reduction|| guidelines|| selection criteria|| ,2 pg,,article,,Texas,
L723,"Gray, Carl|| Pennington, H. Dale|| Matocha, John",Identifying and Correcting Iron Deficiency in Field Crops.,Leaflet / Texas Agricultural Extension Service; no. 723.,Texas Agricultural Extension Service,1982,,,,nutrient deficiencies|| iron|| soil analysis|| iron fertilizers|| fertilizer application||,2 pg,,article,,Texas,
L732,"Horne, C. Wendell|| Walla, Walter J.",Control of Diseases in the Home Lawn.,Leaflet / Texas Agricultural Extension Service; no. 732.,Texas Agricultural Extension Service,1979,,,,disease control|| lawns and turf|| turf management|| fungicides|| plant diseases and disorders|| ,4 pg,,article,,Texas,
L732,"Horne, C. Wendell",Control of Diseases in the Home Lawn.,Leaflet / Texas Agricultural Extension Service; no. 732.,Texas Agricultural Extension Service,1989,,,,disease control|| lawns and turf|| turf management|| fungicides|| plant diseases and disorders|| ,4 pg,,article,,Texas,
L742,"Pennington, Dale|| Onken, Arthur|| Gray, Carl",Crop Fertilization on Texas High Plains Soils.,Leaflet / Texas Agricultural Extension Service; no. 742.,Texas Agricultural Extension Service,1981,,,,fertilizers|| soil properties|| soil fertility|| fertilizer rates|| fertilizers|| soil nutrients||,4 pg ,,article,,Texas,
L743,"Welch, Charles D.|| Gray, Carl|| Cole, Joe E.|| Alston, George D.|| Kissel, David E.|| Birchett, John R.",Field Crop Fertilization on Texas Blackland and Grand Prairie Soils.,Leaflet / Texas Agricultural Extension Service; no. 743.,Texas Agricultural Extension Service,1977,,,,fertilizers|| soil properties|| soil fertility|| fertilizer rates|| fertilizers|| soil nutrients|| cropping systems|| application timing|| profitability||,4 pg ,,article,,Texas,
L743,"Welch, Charles D.|| Gray, Carl|| Alston, George D.|| Hipp, Billy W.",Field Crop Fertilization on Texas Blackland and Grand Prairie Soils.,Leaflet / Texas Agricultural Extension Service; no. 743.,Texas Agricultural Extension Service,1980,,,,fertilizers|| soil properties|| soil fertility|| fertilizer rates|| fertilizers|| soil nutrients|| cropping systems|| application timing|| crop yield||,4 pg ,,article,,Texas,
L748,"Anonymous,",Teach a Child About...Shapes and Colors.,Leaflet / Texas Agricultural Extension Service; no. 748.,Texas Agricultural Extension Service,1983,,,,shape|| color|| games|| educational materials|| toddlers|| preschool children||,4 pg ,,article,,Texas,
L753,"Welch, Tommy G.",Control of Baccharis on Rangeland.,Leaflet / Texas Agricultural Extension Service; no. 753.,Texas Agricultural Extension Service,1981,,,,Baccharis|| descriptions|| weed control|| mechanical weed control|| herbicides|| pesticide application|| range management||,2 pg ,,article,,Texas,
L771,"Welch, Charles D.|| Gray, Carl|| Smith, Kenneth L.",Crop Fertilization on East Texas Soils.,Leaflet / Texas Agricultural Extension Service; no. 771.,Texas Agricultural Extension Service,1977,,,,fertilizers|| fertilizer application|| soil fertility|| micronutrients|| soil analysis|| acid soils||,4 pg,,article,,Texas,
L771,"Welch, Charles|| Gray, Carl|| Smith, Kenneth L.|| Keisling, Terry C.",Crop Fertilization on East Texas Soils.,Leaflet / Texas Agricultural Extension Service; no. 771.,Texas Agricultural Extension Service,1979,,,,fertilizers|| fertilizer application|| soil fertility|| micronutrients|| soil analysis|| acid soils||,4 pg,,article,,Texas,
L781,"Horne, C. Wendell|| Johnson, Jerral D.",Control of Plant Parasitic Nematodes Around the Home and Garden.,Leaflet / Texas Agricultural Extension Service; no. 781.,Texas Agricultural Extension Service,1978,,,,nematode control|| plant parasitic nematodes|| soil sterilization|| nematicides|| ,4 pg,,article,,Texas,
L782,"Ramsey, Charles W.|| Shult, Milo J.",The Age of A Deer.,Leaflet / Texas Agricultural Extension Service; no. 782.,Texas Agricultural Extension Service,1978,,,,deer|| animal age|| age determination|| ,3 pg,,article,,Texas,
L823,"Hancock, Bluefford G.|| McEachern, George Ray","Whip Grafting Grape, Pear, Apple and Pecan Nursery Stock.",Leaflet / Texas Agricultural Extension Service; no. 823.,Texas Agricultural Extension Service,1979,,,,pecans|| grafting (plants)|| plant cuttings|| nursery stock|| grapes|| pears|| apples||,4 pg,,article,,Texas,
L824,"Hancock, B. G.|| McEachern, George Ray",Patch Budding Pecans.,Leaflet / Texas Agricultural Extension Service; no. 824.,Texas Agricultural Extension Service,1981,,patch budding|| ,,pecans|| grafting (plants)|| plant cuttings|| plant propagation|| Carya illinoinensis||,4 pg,,article,,Texas,
L863,"Saunders, Becky",Permanent Press Fabrics Look All Sewn Up.,Leaflet / Texas Agricultural Extension Service; no. 863.,Texas Agricultural Extension Service,1980,,,,wrinkle resistant finishes|| laundry|| clothing care|| fabrics|| finishes|| clothing construction|| ,4 pg,,article,,Texas,
L870,"Cole, Joe E.|| Alston, George D.|| Spence, C. O.",Keys to Profitable Small Grain Production in the North Central Texas Area.,Leaflet / Texas Agricultural Extension Service; no. 870.,Texas Agricultural Extension Service,1977,,,,profit maximization|| small grain|| seed quality|| crop production|| fertilizers|| grazing|| weed control||,4 pg,,article,,Texas,
L870a,"Denton, James|| Lovell, Ashley",Economics of Profitable Small Grain Production in the North Central Texas Area.,Leaflet / Texas Agricultural Extension Service; no. 870a.,Texas Agricultural Extension Service,1979,,,,costs and returns|| wheat|| oats|| dryland farming|| crop production|| crop management|| economic analysis||,16 pg  ,,article,,Texas,
L878,"Janne, Everett E.",Roses:  Summer Care.,Leaflet / Texas Agricultural Extension Service; no. 878.,Texas Agricultural Extension Service,1978,,,,Rosa|| seasonal development|| fertilizing|| irrigation|| mulching|| plant cultural practices|| spraying||,2 pg,,article,,Texas,
L878,"Janne, Everett E.",Roses:  Summer Care.,Leaflet / Texas Agricultural Extension Service; no. 878.,Texas Agricultural Extension Service,1982,,,,Rosa|| seasonal development|| fertilizing|| irrigation|| mulching|| plant cultural practices|| spraying||,2 pg,,article,,Texas,
L886a,"Condra, Gary",Economics of Profitable Cotton Production in the Trans-Pecos and El Paso Areas.,Leaflet / Texas Agricultural Extension Service; no. 886a.,Texas Agricultural Extension Service,1977,,,,costs and returns|| cotton|| crop production|| crop management|| economic analysis||,8 pg,,article,,Texas,
L890a,"Fisher, Glen",Economics of Profitable Grain Sorghum Production in the Rio Grande Plain and Lower Rio Grande Valley.,Leaflet / Texas Agricultural Extension Service; no. 890a.,Texas Agricultural Extension Service,1977,,,,costs and returns|| grain sorghum|| crop production|| crop management|| economic analysis||,12 pg,,article,,Texas,
L891,"Gray, Carl|| Anderson, W. B.|| Welch, C. D.",Iron and Zinc Deficiencies in Field Crops.,Leaflet / Texas Agricultural Extension Service; no. 891.,Texas Agricultural Extension Service,1990,,,,nutrient deficiencies|| iron|| signs and symptoms (plants)|| zinc|| field crops||,4 pg,,article,,Texas,
L892a,"Fisher, Glen",Economics of Profitable Small Grain Production in the Rio Grande Plain.,Leaflet / Texas Agricultural Extension Service; no. 892a.,Texas Agricultural Extension Service,1977,,,,costs and returns|| small grain|| crop production|| crop management|| economic analysis||,14 pg,,article,,Texas,
L893a,"Long, James T.",Economics of Profitable Small Grain Production in East Texas and the Coast Prairie.,Leaflet / Texas Agricultural Extension Service; no. 893a.,Texas Agricultural Extension Service,1977,,,,costs and returns|| small grain|| crop production|| crop management|| economic analysis||,8 pg,,article,,Texas,
L893a,"Long, James T.",Economics of Profitable Small Grain Production in East Texas and the Coast Prairie.,Leaflet / Texas Agricultural Extension Service; no. 893a.,Texas Agricultural Extension Service,1978,,,,costs and returns|| small grain|| crop production|| crop management|| economic analysis||,14 pg,,article,,Texas,
L902a,"Sartin, Marvin O.",Economics of Profitable Soybean Production.,Leaflet / Texas Agricultural Extension Service; no. 902a.,Texas Agricultural Extension Service,1977,,,,costs and returns|| soybeans|| crop production|| crop management|| economic analysis||,8 pg,,article,,Texas,
L902a,"Long, James T.",Economics of Profitable Soybean Production.,Leaflet / Texas Agricultural Extension Service; no. 902a.,Texas Agricultural Extension Service,1978,,,,costs and returns|| soybeans|| crop production|| crop management|| economic analysis||,18 pg,,article,,Texas,
L902a,"Long, James T.",Economics of Profitable Soybean Production.,Leaflet / Texas Agricultural Extension Service; no. 902a.,Texas Agricultural Extension Service,1979,,,,costs and returns|| soybeans|| crop production|| crop management|| economic analysis||,18 pg,,article,,Texas,
L903,"Stein, Larry|| Longbrake, Tom|| Braverman, Michael|| Baker, Marty|| Roberts, Roland|| Parsons, Jerry|| Cotner, Sam",Texas Commercial Vegetable Growers Guide:  Melons.,Leaflet / Texas Agricultural Extension Service; no. 903.,Texas Agricultural Extension Service,1990,,,,crop production|| cantaloupes|| honeydew melons|| fertilizers|| site preparation|| seed quality|| harvesting|| weed control|| ,6 pg,,article,,Texas,
L909,"Groff, Jack L.",Keys to Profitable Angora Goat Production.,Leaflet / Texas Agricultural Extension Service; no. 909.,Texas Agricultural Extension Service,1980,,,,Angora (goat breed)|| animal production|| breeding|| feeding|| shearing (defleecing)|| ,4 pg,,article,,Texas,
L921,"Robinson, James V.",Pine Bark Beetles.,Leaflet / Texas Agricultural Extension Service; no. 921.,Texas Agricultural Extension Service,1981,,,,bark beetles|| insecticides|| insect pests|| trees|| control methods|| Dendroctonus frontalis||,5 pg,,article,,Texas,
L934,"Groff, Jack L.",Keys to Meat-Type Goat Production.,Leaflet / Texas Agricultural Extension Service; no. 934.,Texas Agricultural Extension Service,1980,,,,goats|| animal production|| breeding|| feeding|| kidding|| goat meat||,4 pg,,article,,Texas,
L934,"Groff, Jack L.",Keys to Meat-Type Goat Production.,Leaflet / Texas Agricultural Extension Service; no. 934.,Texas Agricultural Extension Service,1982,,,,goats|| animal production|| breeding|| feeding|| kidding|| goat meat||,4 pg,,article,,Texas,
L936,"Sweeten, Mary K.",Feeding the Infant.,Leaflet / Texas Agricultural Extension Service; no. 936.,Texas Agricultural Extension Service,1980,,,,infants|| infant feeding|| infant foods|| bottle feeding|| breast feeding|| ,4 pg,,article,,Texas,
L945,"Groff, Jack L.",Keys to Accelerated Lambing Programs.,Leaflet / Texas Agricultural Extension Service; no. 945.,Texas Agricultural Extension Service,1978,,,,lambing|| lambing rate|| feeding|| shearing (defleecing)||,2 pg,,article,,Texas,
L946,"Robinson, James V.",The Nantucket Pine Tip Moth.,Leaflet / Texas Agricultural Extension Service; no. 946.,Texas Agricultural Extension Service,1984,,,,moths|| Rhyacionia frustrana|| pest control|| insect growth|| life history||,4 pg,,article,,Texas,
L949a,"Anonymous,",Economics of Profitable Lettuce Production.,Leaflet / Texas Agricultural Extension Service; no. 949a.,Texas Agricultural Extension Service,1978,,,,costs and returns|| lettuce|| crop production|| accounting||,4 pg,,article,,Texas,
L949a,"Anonymous,",Economics of Profitable Lettuce Production.,Leaflet / Texas Agricultural Extension Service; no. 949a.,Texas Agricultural Extension Service,1979,,,,costs and returns|| lettuce|| crop production|| accounting||,4 pg,,article,,Texas,
L954,"McElyea, Eugene M.",Charitable Giving.,Leaflet / Texas Agricultural Extension Service; no. 954.,Texas Agricultural Extension Service,1977,,charitable gifts||,,estate planning|| taxes|| estate tax||,4 pg,,article,,Texas,
L960,"Anonymous,",Texas Junior Dairy Production Awards Program.,Leaflet / Texas Agricultural Extension Service; no. 960.,Texas Agricultural Extension Service,1982,,,,milk production|| youth programs|| awards||,4 pg,,article,,Texas,
L963,"Cawley, W. O.|| Terry, R. J.|| Krueger, W. F.|| Marquez, B. J.|| Creger, C. R.",Keys to Profitable Commercial Turkey Production.,Leaflet / Texas Agricultural Extension Service; no. 963.,Texas Agricultural Extension Service,1978,,,,poultry production|| poultry feeding|| turkeys||,4 pg,,article,,Texas,
L964,"Roberts, Roland|| Longbrake, Tom|| Cotner, Sam|| Parsons, Jerry|| Thompson, Paul",Keys to Profitable Potato Production.,Leaflet / Texas Agricultural Extension Service; no. 964.,Texas Agricultural Extension Service,1977,,,,potatoes|| crop production|| fertilizers|| weed control|| site preparation|| harvesting|| economics||,4 pg,,article,,Texas,
L964a,"Anonymous,",Economics of Profitable Potato Production.,Leaflet / Texas Agricultural Extension Service; no. 964a.,Texas Agricultural Extension Service,1978,,,,potatoes|| crop production|| costs and returns|| accounting||,2 pg,,article,,Texas,
L964a,"Anonymous,",Economics of Profitable Potato Production.,Leaflet / Texas Agricultural Extension Service; no. 964a.,Texas Agricultural Extension Service,1979,,,,potatoes|| crop production|| costs and returns|| accounting||,2 pg,,article,,Texas,
L966,"Longbrake, Tom|| Cotner, Sam|| Roberts, Roland|| Parsons, Jerry|| Peavy, William",Keys to Profitable Pepper Production.,Leaflet / Texas Agricultural Extension Service; no. 966.,Texas Agricultural Extension Service,1977,,,,peppers|| crop production|| fertilizers|| weed control|| site preparation|| harvesting|| economics||,4 pg,,article,,Texas,
L966a,"Parker, Cecil A.",Economics of Profitable Pepper Production.,Leaflet / Texas Agricultural Extension Service; no. 966a.,Texas Agricultural Extension Service,1978,,,,peppers|| crop production|| costs and returns|| accounting||,2 pg,,article,,Texas,
L966a,"Jones, Tom M.",Economics of Profitable Pepper Production.,Leaflet / Texas Agricultural Extension Service; no. 966a.,Texas Agricultural Extension Service,1979,,,,peppers|| crop production|| costs and returns|| accounting||,2 pg,,article,,Texas,
L984,"Stayton, Charles L.",Painting the Exterior Wood of Your Home.,Leaflet / Texas Agricultural Extension Service; no. 984.,Texas Agricultural Extension Service,1990,,painting||,,paints|| home improvement|| guidelines|| wood|| wood products||,8 pg,,article,,Texas,
L998,"Rhoades, Beverly|| Field, Barbara",Corduroy Fabrics Look All Sewn Up.,Leaflet / Texas Agricultural Extension Service; no. 998.,Texas Agricultural Extension Service,1980,,corduroy||,,clothing|| fabrics|| clothing construction|| sewing||,4 pg,,article,,Texas,
L1002,"Rhoades, Beverly",Velvet and Velveteen All Sewn Up.,Leaflet / Texas Agricultural Extension Service; no. 1002.,Texas Agricultural Extension Service,1977,,velvet||,,clothing|| fabrics|| clothing construction|| sewing||,4 pg,,article,,Texas,
L1014,"Blair, Vivian",Good Health in Retirement.,Leaflet / Texas Agricultural Extension Service; no. 1014.,Texas Agricultural Extension Service,1977,,,,retirement planning|| human health and safety|| ,2 pg,,article,,Texas,
L1045,"Parsons, Jerry|| Longbrake, Tom|| Roberts, Roland|| Thompson, Paul|| Cotner, Sam|| Peavy, William",Keys to Profitable Tomato Production in South and West Texas.,Leaflet / Texas Agricultural Extension Service; no. 1045.,Texas Agricultural Extension Service,1977,,,,tomatoes|| crop production|| fertilizers|| weed control|| site preparation|| harvesting|| irrigation|| disease control|| ,4 pg,,article,,Texas,
L1050,"Smith, Toy|| Cline, June",Extension Home Economics:  What's it all About?,Leaflet / Texas Agricultural Extension Service; no. 1050.,Texas Agricultural Extension Service,1978,,home demonstrations||,,family and consumer science|| homemaking|| ,6 pg,,article,,Texas,
L1050,"White, Lynn|| Cline, June",Extension Home Economics:  What's it all About?,Leaflet / Texas Agricultural Extension Service; no. 1050.,Texas Agricultural Extension Service,1979,,home demonstrations||,,family and consumer science|| homemaking|| ,6 pg,,article,,Texas,
L1056,"Lawrence, Charles E.|| Gilmartin, John A.",Your Key to The Courthouse.,Leaflet / Texas Agricultural Extension Service; no. 1056.,Texas Agricultural Extension Service,1978,,legal documents||,,courts|| administration of justice||,4 pg,,article,,Texas,
L1076a,"Fisher, Glen",Economics of Profitable Spinach Production.,Leaflet / Texas Agricultural Extension Service; no. 1076a.,Texas Agricultural Extension Service,1977,,,,spinach|| crop production|| costs and returns|| accounting|| economic analysis||,4 pg,,article,,Texas,
L1076a,"Parker, Cecil A.",Economics of Profitable Spinach Production.,Leaflet / Texas Agricultural Extension Service; no. 1076a.,Texas Agricultural Extension Service,1978,,,,spinach|| crop production|| costs and returns|| accounting|| economic analysis||,4 pg,,article,,Texas,
L1076a,"Trimble, Richard",Economics of Profitable Spinach Production.,Leaflet / Texas Agricultural Extension Service; no. 1076a.,Texas Agricultural Extension Service,1979,,,,spinach|| crop production|| costs and returns|| accounting|| economic analysis||,4 pg,,article,,Texas,
L1079,"Clyatt, Gwendolyne",Food Packaging and Labeling Can Help You Shop.,Leaflet / Texas Agricultural Extension Service; no. 1079.,Texas Agricultural Extension Service,1977,,,,food packaging|| food labeling|| food purchasing|| standards and grades|| food grades||,4 pg,,article,,Texas,
L1081,"Haggard, Marilyn A.",Planning Your Family Meals.,Leaflet / Texas Agricultural Extension Service; no. 1081.,Texas Agricultural Extension Service,1977,,,,meal planning|| menu planning|| food groups||,4 pg,,article,,Texas,
L1082,"Reasonover, Frances L.",Your Food Budget.,Leaflet / Texas Agricultural Extension Service; no. 1082.,Texas Agricultural Extension Service,1979,,,,food purchasing|| family resource management|| consumer expenditure|| food groups||,4 pg,,article,,Texas,
L1085,"Lawrence, Charles E.|| Gilmartin, John A.",Steps in the Trial of a Criminal Proceeding.,Leaflet / Texas Agricultural Extension Service; no. 1085.,Texas Agricultural Extension Service,1978,,,,legal practices and procedures|| court trials|| ,6 pg,,article,,Texas,
L1086,"Lawrence, Charles E.|| Gilmartin, John A.",Steps in the Trial of a Civil Proceeding.,Leaflet / Texas Agricultural Extension Service; no. 1086.,Texas Agricultural Extension Service,1978,,,,legal practices and procedures|| court trials|| ,4 pg,,article,,Texas,
L1089,"Cocke, Jr., Jesse",New Advances Against The Screwworm.,Leaflet / Texas Agricultural Extension Service; no. 1089.,Texas Agricultural Extension Service,1981,,,,pest control|| Cochliomyia hominivorax|| larvae|| life cycle|| ,12 pg,,article,,Texas,
L1094,"Sweeten, John M.",Manure Management for Cattle Feedlots.,Leaflet / Texas Agricultural Extension Service; no. 1094.,Texas Agricultural Extension Service,1979,,,,solid wastes|| waste management|| feedlots|| waste disposal||,6 pg,,article,,Texas,
L1096,"Gilmartin, John A.|| Rothe, Joe M.",Pistols in Texas:  To Carry or Not to Carry.,Leaflet / Texas Agricultural Extension Service; no. 1096.,Texas Agricultural Extension Service,1983,,pistols|| ,,laws and regulations|| legal rights|| ,6 pg,,article,,Texas,
L1096,"Gilmartin, John A.|| Rothe, Joe M.",Pistols in Texas:  To Carry or Not to Carry.,Leaflet / Texas Agricultural Extension Service; no. 1096.,Texas Agricultural Extension Service,1985,,pistols|| ,,laws and regulations|| legal rights|| ,6 pg,,article,,Texas,
L1097,"Janne, Everett E.|| Welsh, Douglas F.",Fertilizing Woody Ornamentals.,Leaflet / Texas Agricultural Extension Service; no. 1097.,Texas Agricultural Extension Service,1983,,,,fertilizers|| ornamental woody plants|| application methods|| tree growth||,4 pg,,article,,Texas,
L1097,"Welsh, Douglas F.|| Janne, Everett E.|| Finch, Calvin",Fertilizing Woody Ornamentals.,Leaflet / Texas Agricultural Extension Service; no. 1097.,Texas Agricultural Extension Service,1989,,,,fertilizers|| ornamental woody plants|| application methods|| tree growth||,4 pg,,article,,Texas,
L1098,"Ramsey, Charles",Habitat for East Texas Quail.,Leaflet / Texas Agricultural Extension Service; no. 1098.,Texas Agricultural Extension Service,1982,,,,quails|| habitats|| foods|| nesting||,2 pg,,article,,Texas,
L1103,"Hayenga, Wayne A.",What Should My Financial Report Tell Me?,Leaflet / Texas Agricultural Extension Service; no. 1103.,Texas Agricultural Extension Service,1978,,financial statements||,,finance|| profits and margins|| ,2 pg,,article,,Texas,
L1111,"Anonymous,",Be A Smart Shopper About Consumer Complaints.,Leaflet / Texas Agricultural Extension Service; no. 1111.,Texas Agricultural Extension Service,1980,,,,planning|| consumer science|| grievance procedure||,4 pg,,article,,Texas,
L1111,"Anonymous,",Be A Smart Shopper About Consumer Complaints.,Leaflet / Texas Agricultural Extension Service; no. 1111.,Texas Agricultural Extension Service,1982,,,,planning|| consumer science|| grievance procedure||,4 pg,,article,,Texas,
L1112,"Anonymous,",Be A Smart Shopper About Guarantees.,Leaflet / Texas Agricultural Extension Service; no. 1112.,Texas Agricultural Extension Service,1981,,warranties|| guarantees|| ,,planning|| consumer science||  ,4 pg,,article,,Texas,
L1138,"Powell, Gordon R.",Marketing Seasons for Texas Grown Fruits and Vegetables.,Leaflet / Texas Agricultural Extension Service; no. 1138.,Texas Agricultural Extension Service,1978,,,,marketing|| fruits|| vegetables|| industry trends||,3 pg,,article,,Texas,
L1138,"Powell, Gordon R.",Marketing Seasons for Texas Grown Fruits and Vegetables.,Leaflet / Texas Agricultural Extension Service; no. 1138.,Texas Agricultural Extension Service,1980,,,,marketing|| fruits|| vegetables|| industry trends||,3 pg,,article,,Texas,
L1139,"Chenoweth, Lillian","Selection, Use and Care of Major Home Appliances.",Leaflet / Texas Agricultural Extension Service; no. 1139.,Texas Agricultural Extension Service,1978,,,,household equipment|| homes and home furnishings||,4 pg,,article,,Texas,
L1164,"Prater, Tom E.|| McElyea, Eugene M.",A Guide for Estate Planning Considerations.,Leaflet / Texas Agricultural Extension Service; no. 1164.,Texas Agricultural Extension Service,1977,,,,estate planning|| taxes||,4 pg,,article,,Texas,
L1166,"Powell, Gordon R.",Availability of Fruit and Vegetable Imports From Mexico into U.S.,Leaflet / Texas Agricultural Extension Service; no. 1166.,Texas Agricultural Extension Service,1978,,,,fruits|| vegetables|| industry trends|| imports||,3 pg,,article,,Texas,
L1166,"Powell, Gordon R.",Availability of Fruit and Vegetable Imports From Mexico into U.S.,Leaflet / Texas Agricultural Extension Service; no. 1166.,Texas Agricultural Extension Service,1980,,,,fruits|| vegetables|| industry trends|| imports||,3 pg,,article,,Texas,
L1168,"McCormack, Linda",Refrigerators and Freezers.,Leaflet / Texas Agricultural Extension Service; no. 1168.,Texas Agricultural Extension Service,1977,,,,freezers|| refrigerators|| household equipment||,4 pg,,article,,Texas,
L1172a,"Sartin, Marvin O.",Economics of Profitable Southern Pea Production.,Leaflet / Texas Agricultural Extension Service; no. 1172a.,Texas Agricultural Extension Service,1977,,,,cowpeas|| crop production|| costs and returns|| accounting|| economic analysis||,6 pg,,article,,Texas,
L1172a,"Sartin, Marvin O.",Economics of Profitable Southern Pea Production.,Leaflet / Texas Agricultural Extension Service; no. 1172a.,Texas Agricultural Extension Service,1978,,,,cowpeas|| crop production|| costs and returns|| accounting|| economic analysis||,6 pg,,article,,Texas,
